Datum,Anzahl_Messwerte,Windgeschwindigkeit,Windrichtung,Strahlung,Luftdruck,Temp_2m,Temp_5cm,Bodentemp_-10cm,Luftfeuchte,Niederschlagsmenge
2026-01-15,635,4.1,195.3,41.7,1015,6.4,5.1,2.6,94,0
2026-01-14,720,5.4,225.1,21.9,1013,5.8,2.9,1.1,91,0
2026-01-13,720,5.2,227.4,31.2,1012,4.6,-0.1,0.9,97,0
2026-01-12,720,4.6,200.6,38.8,1014,-2.3,-2.2,0.8,73,0
2026-01-11,720,6.1,274.7,111.8,1020,-7,-2.4,0.8,84,0
2026-01-10,719,4.5,146.3,52.1,1005,-6.8,-1.7,0.7,87,0
2026-01-09,720,6,166.2,42.8,996,-1.6,-2,0.5,85,0
2026-01-08,720,3.6,192.5,28.2,1007,-4.8,-5,0.5,83,0
2026-01-07,720,3.8,199.7,93.2,1012,-5.7,-5.6,0.7,72,0
2026-01-06,720,3.7,235.1,39.4,1013,-5.1,-4.5,0.7,79,0
2026-01-05,719,4,214.9,63.4,1011,-3.4,-3.2,0.9,68,0
2026-01-04,720,8.4,247.5,47,1005,-1.7,-2,0.8,76,0
2026-01-03,720,9.8,253.9,57.6,998,-1.5,-2.6,0.7,78,0
2026-01-02,719,10.7,254.1,39.4,992,0.1,-1.5,0.6,76,0
2026-01-01,720,9.7,253.9,27.2,1002,-0,-0.7,0.4,90,0
2025-12-31,719,8.2,273,23.8,1016,-2.2,-3,0.4,93,0
2025-12-30,720,6,295.7,40.6,1020,-2.4,-3.8,0.3,92,0
2025-12-29,720,6.7,273.7,17.1,1019,-0.6,-1.3,0.3,95,0
2025-12-28,429,4.4,264.9,57.2,1028,-2.1,-2.8,0.4,96,0
2025-12-27,315,3,239.1,36.1,1031,-4,-5.8,0.3,86,0
2025-12-26,720,2.2,152.9,77.5,1031,-3,-4,0.5,89,0
2025-12-25,720,4.6,91.2,64.7,1031,-5.4,-5.7,1,88,0
2025-12-24,719,8.2,68.7,18.3,1028,-2.9,-3.3,2.5,85,0
2025-12-23,718,6.7,76.2,8.4,1019,0.9,0.3,3.6,96,0
2025-12-22,720,5.1,126.5,14.6,1015,2.4,1.6,3.7,89,0
2025-12-21,720,3.9,129.9,77.5,1016,7,5.2,4.7,75,0
2025-12-20,719,2.3,155.1,27.6,1019,7.5,6.6,5.5,95,0
2025-12-19,516,4.7,203.8,98.1,1021,9,8.3,4.5,70,0
2025-12-18,391,4.7,199.5,97,1023,7.5,6.5,3.1,81,0
2025-12-17,719,4.4,221.2,70.1,1018,4,2.7,2.5,76,0
2025-12-16,720,5.3,179.7,63.7,1017,2.8,1.8,3.1,73,0
2025-12-15,719,4.9,181,80.9,1019,3.3,1.9,3.5,82,0
2025-12-14,720,3.2,226.8,25.2,1026,3.3,2.6,4.8,97,0
