product_id,name,category,brand,price,stock,rating,created_at
P00001,"Laptop 14"" 2.0",Electronics,PixelPeak,1399.03,138,3.7,2025-06-14
P00002,Portable SSD Max M,Electronics,ZenCore,805.93,211,3.9,2024-05-21
P00003,4K Monitor - Green,Electronics,Neutrino,522.48,261,5.0,2025-10-16
P00004,"Tablet 10""",Electronics,Voltix,985.75,54,3.9,2025-04-16
P00005,Portable SSD Lite,Electronics,OrbiTech,508.23,20,4.2,2025-03-12
P00006,Soundbar - Red,Electronics,OrbiTech,786.98,66,5.0,2025-09-07
P00007,Mechanical Keyboard - Black,Electronics,Neutrino,537.59,175,4.4,2025-08-30
P00008,"Laptop 14"" Plus",Electronics,Voltix,1187.46,188,4.6,2025-03-13
P00009,Action Camera - Green,Electronics,OrbiTech,502.12,312,5.0,2025-03-27
P00010,Soundbar,Electronics,Auralite,1340.90,171,3.7,2025-02-25
P00011,4K Monitor,Electronics,Neutrino,24.92,1,3.3,2025-07-13
P00012,Action Camera XL,Electronics,Auralite,636.73,124,2.8,2025-04-14
P00013,Gaming Mouse Plus M,Electronics,Voltix,787.02,127,4.9,2024-08-18
P00014,Bluetooth Speaker Plus,Electronics,Auralite,865.42,69,3.8,2025-02-23
P00015,Noise-Canceling Earbuds Lite,Electronics,Auralite,1339.39,30,4.0,2024-10-12
P00016,Action Camera - Blue,Electronics,ZenCore,1322.90,325,4.8,2025-09-13
P00017,"Laptop 14"" Pro S",Electronics,Auralite,481.53,252,3.5,2025-09-19
P00018,Gaming Mouse,Electronics,Neutrino,1402.13,15,4.1,2025-06-28
P00019,USB-C Hub - White,Electronics,BlueWave,1093.57,198,4.6,2025-09-08
P00020,USB-C Hub - Red,Electronics,PixelPeak,317.33,76,4.3,2025-06-25
P00021,Wireless Headphones,Electronics,BlueWave,377.20,248,4.3,2024-10-17
P00022,"Laptop 14"" 2.0 - Black",Electronics,Neutrino,833.21,336,4.4,2024-08-26
P00023,Wireless Headphones M,Electronics,BlueWave,697.05,225,5.0,2024-09-17
P00024,"Tablet 10"" - Green",Electronics,Auralite,667.70,163,4.2,2024-12-03
P00025,Soundbar Plus,Electronics,PixelPeak,739.53,60,4.4,2025-08-28
P00026,USB-C Hub Plus,Electronics,Auralite,1356.47,168,4.3,2025-05-06
P00027,Noise-Canceling Earbuds Max,Electronics,PixelPeak,1352.11,283,3.3,2025-03-14
P00028,"Tablet 10"" - Black",Electronics,Neutrino,128.34,35,3.7,2025-06-16
P00029,Mechanical Keyboard - Blue,Electronics,Voltix,1106.59,228,3.6,2024-07-15
P00030,Action Camera,Electronics,ZenCore,1027.70,122,3.3,2024-09-05
P00031,"Tablet 10"" Plus",Electronics,PixelPeak,648.45,63,4.6,2024-09-20
P00032,Noise-Canceling Earbuds,Electronics,Auralite,784.44,141,5.0,2025-09-25
P00033,Smartwatch - White,Electronics,ZenCore,61.61,203,2.9,2025-02-05
P00034,Bluetooth Speaker M,Electronics,Neutrino,853.91,68,5.0,2024-11-17
P00035,4K Monitor,Electronics,Neutrino,62.90,219,3.2,2024-09-03
P00036,"Tablet 10""",Electronics,ZenCore,852.45,143,4.7,2024-05-23
P00037,Action Camera Plus,Electronics,Auralite,1376.90,81,4.2,2025-07-11
P00038,Bluetooth Speaker Pro,Electronics,OrbiTech,725.66,199,3.9,2025-06-17
P00039,Portable SSD Lite S,Electronics,OrbiTech,546.80,347,4.0,2025-05-08
P00040,Gaming Mouse - Graphite,Electronics,Auralite,1297.21,13,4.4,2024-10-29
P00041,Portable SSD Lite - Graphite,Electronics,OrbiTech,1242.64,152,4.2,2024-07-14
P00042,Wireless Headphones Pro S - Silver,Electronics,OrbiTech,523.27,151,3.7,2025-02-27
P00043,Gaming Mouse M,Electronics,PixelPeak,1175.69,64,3.7,2025-03-13
P00044,Bluetooth Speaker Lite M,Electronics,Voltix,1425.09,293,4.4,2024-12-06
P00045,Gaming Mouse Lite S,Electronics,Auralite,486.97,130,4.9,2025-08-18
P00046,4K Monitor - White,Electronics,BlueWave,1390.69,24,4.7,2025-07-30
P00047,4K Monitor,Electronics,OrbiTech,226.26,18,4.5,2024-08-15
P00048,4K Monitor,Electronics,Voltix,748.05,53,4.6,2024-10-20
P00049,Bluetooth Speaker XL,Electronics,OrbiTech,215.56,184,3.8,2025-04-02
P00050,Gaming Mouse Pro S,Electronics,BlueWave,270.97,67,4.5,2024-09-21
P00051,Smartwatch Pro L - Graphite,Electronics,Voltix,394.22,130,4.0,2024-10-07
P00052,Portable SSD Plus,Electronics,OrbiTech,271.37,256,4.1,2025-04-13
P00053,"Tablet 10""",Electronics,Voltix,1433.70,23,3.7,2025-01-28
P00054,4K Monitor,Electronics,Auralite,962.86,218,4.2,2025-05-22
P00055,USB-C Hub,Electronics,Auralite,846.15,301,4.2,2024-09-15
P00056,Wireless Headphones Max,Electronics,Auralite,639.32,53,3.6,2024-06-21
P00057,USB-C Hub Pro,Electronics,PixelPeak,1371.22,39,5.0,2025-03-20
P00058,4K Monitor,Electronics,Neutrino,1368.99,30,2.9,2025-01-25
P00059,Action Camera 2.0,Electronics,Voltix,885.27,173,3.9,2024-08-24
P00060,Mechanical Keyboard,Electronics,Voltix,1462.40,337,3.9,2025-05-25
P00061,Action Camera,Electronics,OrbiTech,1259.30,115,4.0,2024-11-01
P00062,"Laptop 14"" 2.0 - White",Electronics,Voltix,132.35,103,4.1,2025-09-23
P00063,Portable SSD,Electronics,Voltix,289.75,137,3.7,2025-04-28
P00064,USB-C Hub S,Electronics,PixelPeak,298.11,228,4.2,2024-08-15
P00065,Gaming Mouse Plus S,Electronics,BlueWave,562.30,5,4.0,2025-07-05
P00066,Soundbar Plus,Electronics,ZenCore,146.53,79,4.3,2024-07-27
P00067,Smartwatch Pro - Blue,Electronics,BlueWave,631.64,279,3.1,2024-08-11
P00068,4K Monitor L,Electronics,Voltix,812.89,173,4.1,2025-01-17
P00069,Gaming Mouse M,Electronics,BlueWave,1042.31,272,3.8,2025-08-04
P00070,Smartwatch S,Electronics,Voltix,870.07,218,4.4,2025-03-05
P00071,Soundbar Pro S,Electronics,OrbiTech,1425.74,49,4.3,2024-07-28
P00072,Soundbar 2.0,Electronics,ZenCore,231.87,299,3.0,2025-10-19
P00073,Soundbar Max M,Electronics,Neutrino,317.14,169,3.8,2025-02-11
P00074,USB-C Hub - Black,Electronics,ZenCore,1337.23,118,4.6,2024-07-22
P00075,4K Monitor,Electronics,OrbiTech,1445.86,238,4.6,2024-10-23
P00076,USB-C Hub XL,Electronics,BlueWave,506.06,222,4.7,2024-11-13
P00077,"Tablet 10"" S - Black",Electronics,ZenCore,192.98,328,4.4,2025-06-14
P00078,Mechanical Keyboard 2.0 XL,Electronics,OrbiTech,1151.32,15,4.7,2025-01-21
P00079,Smartwatch,Electronics,Auralite,1203.52,337,3.0,2025-02-13
P00080,Bluetooth Speaker,Electronics,Voltix,1097.74,229,3.6,2024-07-03
P00081,Wireless Headphones,Electronics,Voltix,852.73,47,4.2,2024-08-10
P00082,Gaming Mouse,Electronics,ZenCore,317.38,154,3.6,2025-06-01
P00083,Portable SSD 2.0,Electronics,Neutrino,1131.97,239,3.7,2024-10-06
P00084,4K Monitor XL,Electronics,ZenCore,1389.73,253,4.7,2024-12-14
P00085,Portable SSD,Electronics,Neutrino,968.47,4,3.2,2024-06-10
P00086,"Tablet 10"" Pro - Black",Electronics,Voltix,827.84,3,3.4,2025-10-10
P00087,"Laptop 14""",Electronics,OrbiTech,772.23,46,3.2,2024-10-17
P00088,"Laptop 14"" Lite",Electronics,PixelPeak,1290.81,285,4.3,2025-05-01
P00089,"Tablet 10"" - Graphite",Electronics,Voltix,1101.99,335,3.8,2024-09-05
P00090,"Tablet 10"" Max",Electronics,Neutrino,1019.90,37,3.8,2025-09-24
P00091,Gaming Mouse Pro,Electronics,Auralite,415.47,320,4.8,2024-05-12
P00092,Smartwatch,Electronics,ZenCore,1145.45,202,4.1,2025-01-03
P00093,Bluetooth Speaker - Blue,Electronics,ZenCore,636.58,168,2.9,2024-05-03
P00094,Wireless Headphones,Electronics,Auralite,995.22,161,3.8,2025-01-20
P00095,Gaming Mouse,Electronics,ZenCore,92.53,147,5.0,2025-07-23
P00096,Bluetooth Speaker,Electronics,ZenCore,1493.82,5,4.0,2024-09-19
P00097,Action Camera - White,Electronics,ZenCore,129.17,48,5.0,2025-07-25
P00098,Soundbar Max,Electronics,Neutrino,1145.22,335,3.8,2024-11-27
P00099,USB-C Hub Plus,Electronics,Voltix,408.92,240,3.4,2024-08-13
P00100,USB-C Hub S,Electronics,Voltix,706.74,207,3.1,2024-10-09
P00101,Leggings Max - Silver,Clothing,AeroLoom,245.35,92,4.7,2025-06-24
P00102,Jacket Max XL,Clothing,Cotton&Co,110.77,464,4.1,2025-01-25
P00103,Socks (5-pack) 2.0 M,Clothing,Nordline,84.42,295,5.0,2025-04-30
P00104,Hoodie - Black,Clothing,UrbanTrail,106.25,146,5.0,2024-10-22
P00105,Basic T-Shirt Max,Clothing,AeroLoom,24.34,702,5.0,2024-06-10
P00106,Hoodie,Clothing,Nordline,184.13,548,4.2,2024-12-19
P00107,Jacket,Clothing,UrbanTrail,44.00,86,4.3,2025-09-28
P00108,Raincoat 2.0,Clothing,UrbanTrail,131.54,351,3.9,2024-11-23
P00109,Jeans XL,Clothing,AeroLoom,113.52,473,3.6,2025-05-11
P00110,Jeans,Clothing,UrbanTrail,104.87,396,4.3,2025-08-24
P00111,Chinos Pro - Red,Clothing,Nordline,195.07,425,5.0,2025-09-05
P00112,Polo Shirt,Clothing,AeroLoom,121.06,234,5.0,2024-05-14
P00113,Jacket L,Clothing,AeroLoom,29.28,647,2.8,2024-11-06
P00114,Raincoat,Clothing,AeroLoom,43.81,761,4.8,2024-09-12
P00115,Jeans - Silver,Clothing,PureThread,34.16,318,4.0,2025-08-25
P00116,Jacket,Clothing,AeroLoom,140.53,148,4.5,2024-11-14
P00117,Leggings L,Clothing,Seaside,18.10,45,4.9,2025-04-24
P00118,Jacket,Clothing,PureThread,223.66,88,4.2,2024-05-26
P00119,Sneakers Pro XL,Clothing,Meridian Wear,185.79,331,3.1,2025-08-31
P00120,Basic T-Shirt Lite,Clothing,PureThread,75.34,520,4.4,2025-10-07
P00121,Hoodie M,Clothing,PureThread,52.36,701,4.4,2025-01-24
P00122,Jeans,Clothing,Cotton&Co,35.78,525,4.2,2024-09-19
P00123,Polo Shirt 2.0,Clothing,AeroLoom,235.50,799,3.8,2024-05-30
P00124,Basic T-Shirt 2.0 - Graphite,Clothing,PureThread,51.30,730,4.0,2025-09-01
P00125,Chinos L - Silver,Clothing,Meridian Wear,205.43,524,3.5,2024-10-11
P00126,Hoodie - Green,Clothing,Nordline,237.98,354,4.0,2024-06-27
P00127,Dress Shirt - White,Clothing,Seaside,91.62,150,4.1,2025-01-05
P00128,Chinos,Clothing,Seaside,138.48,696,3.0,2025-10-03
P00129,Jeans,Clothing,Nordline,73.34,580,4.7,2025-06-06
P00130,Raincoat,Clothing,PureThread,143.43,393,3.2,2024-05-02
P00131,Cap - Black,Clothing,AeroLoom,205.26,681,3.3,2025-02-17
P00132,Dress Shirt Plus - Graphite,Clothing,PureThread,198.67,3,2.4,2025-02-17
P00133,Socks (5-pack),Clothing,Seaside,159.64,228,4.4,2025-09-10
P00134,Polo Shirt - Red,Clothing,Meridian Wear,243.71,303,3.2,2024-10-18
P00135,Sneakers 2.0,Clothing,UrbanTrail,81.46,373,3.9,2024-11-26
P00136,Jacket,Clothing,Seaside,53.04,107,4.1,2025-05-19
P00137,Hoodie,Clothing,Cotton&Co,108.49,44,3.8,2025-06-02
P00138,Hoodie Plus L,Clothing,Cotton&Co,129.18,204,5.0,2024-07-09
P00139,Jacket 2.0,Clothing,Seaside,143.66,748,5.0,2025-04-22
